IMO,Ледовый класс,Скорость,Начало,Окончание,Дата и время начала,Дата и время окончания,Плановое время плавания,Число окончания,Число начала
9834313,1,18,13,0,648000.0,831600.0,183600.0,2021-01-06 14:00:00,2021-01-04 11:00:00
9267297,2,14,12,0,770400.0,990000.0,219600.0,2021-01-08 10:00:00,2021-01-05 21:00:00
9834296,1,16,13,0,835200.0,1011600.0,176400.0,2021-01-08 16:00:00,2021-01-06 15:00:00
9834296,1,16,0,13,1335600.0,1531800.0,196200.0,2021-01-14 16:30:00,2021-01-12 10:00:00
9834296,1,16,13,0,1456200.0,1594800.0,138600.0,2021-01-15 10:00:00,2021-01-13 19:30:00
9834313,1,18,0,13,1677600.0,1877400.0,199800.0,2021-01-18 16:30:00,2021-01-16 09:00:00
9014896,2,14,0,12,1656000.0,2001600.0,345600.0,2021-01-20 03:00:00,2021-01-16 03:00:00
8711289,2,15,13,0,1918800.0,2228400.0,309600.0,2021-01-22 18:00:00,2021-01-19 04:00:00
9834313,1,18,13,0,2023200.0,2242800.0,219600.0,2021-01-22 22:00:00,2021-01-20 09:00:00
9834296,1,16,0,13,2188800.0,2403000.0,214200.0,2021-01-24 18:30:00,2021-01-22 07:00:00
9834296,1,16,13,0,2251800.0,2507400.0,255600.0,2021-01-25 23:30:00,2021-01-23 00:30:00
9014896,2,14,12,0,2174400.0,2588400.0,414000.0,2021-01-26 22:00:00,2021-01-22 03:00:00
9243801,2,14,12,0,2412000.0,2757600.0,345600.0,2021-01-28 21:00:00,2021-01-24 21:00:00
9267297,2,14,0,12,2372400.0,2761200.0,388800.0,2021-01-28 22:00:00,2021-01-24 10:00:00
9202053,2,12,0,12,2251800.0,2930400.0,678600.0,2021-01-30 21:00:00,2021-01-23 00:30:00
9194012,2,15,10,0,2044800.0,2934000.0,889200.0,2021-01-30 22:00:00,2021-01-20 15:00:00
9804033,3,14,0,13,2588400.0,3013200.0,424800.0,2021-01-31 20:00:00,2021-01-26 22:00:00
