Наименование,IMO,Ледовый класс,Скорость,start_point,end_point,start,end
Штурман Альбанов,9752084,Arc7,15,0,10,2021-01-21 09:00:00,2021-01-26 22:00:00
Штурман Альбанов,9752084,Arc7,15,10,0,2021-01-28 01:00:00,2021-02-02 19:00:00
Штурман Кошелев,9759939,Arc7,15,0,10,2021-01-17 13:00:00,2021-01-21 16:20:00
Штурман Кошелев,9759939,Arc7,15,10,0,2021-01-22 07:30:00,2021-01-26 19:00:00
Михаил Лазарев,9837547,Arc7,15,0,12,2021-01-19 12:00:00,2021-01-23 12:00:00
Юрий Кучиев,9804033,Arc7,14,0,13,2021-01-26 22:00:00,2021-01-31 20:00:00
Владимир Воронин,9750737,Arc7,19,13,0,2021-01-26 10:00:00,2021-01-29 22:30:00
LNG PHECDA,9834313,No ice class,18,0,13,2021-01-16 09:00:00,2021-01-18 16:30:00
LNG PHECDA,9834313,No ice class,18,13,0,2021-01-20 09:00:00,2021-01-22 22:00:00
LNG DUBHE,9834296,No ice class,16,0,13,2021-01-12 10:00:00,2021-01-14 16:30:00
LNG DUBHE,9834296,No ice class,16,13,0,2021-01-13 19:30:00,2021-01-15 10:00:00
LNG DUBHE,9834296,No ice class,16,0,13,2021-01-22 07:00:00,2021-01-24 18:30:00
LNG DUBHE,9834296,No ice class,16,13,0,2021-01-23 00:30:00,2021-01-25 23:30:00
